,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
1590,DoorDash,1446,"DoorDash, Stanford University, Google, Target, Best Buy","San Jose State University, Stanford University, De Anza College, University of California Berkeley, West Valley College","Administrative Services, Transportation, Mobile","San Francisco, California, United States",11752,Series C,"$127,000,000",186700000,-6.3,"Local, Delivery, Logistics, Mobile, Small and Medium Businesses",01/01/2013,Operating,03/22/2016,186700000,1.66,186.7,0.878
1591,SimplyTapp,16,"Infosys, Cisco, Nokia, Intersil, SWBC","The University of Kansas, Cornell University, Concordia University, Annamalai University, Indian Institute of Technology Kanpur","Commerce and Shopping, Software, Payments, Financial Services, Lending and Investments, Mobile","Austin, Texas, United States",11753,Series Unknown,,10120600,-0.2,"Coupons, Banking, Mobile Payments, Infrastructure",01/01/2011,Operating,06/04/2015,10120600,2.46,10.121,0.841
1592,Elevate Labs,17,"MindSnacks, Elevate Labs, SFMOMA San Francisco Museum of Modern Art, SapientRazorfish, Google","Universidad de Castilla-La Mancha, University of Waterloo, Beijing Normal University, Universidad de Oviedo, Universidad de Sevilla","Apps, Hardware, Data and Analytics, Software","San Francisco, California, United States",11796,Series A,"$6,500,000",7700000,-0.4,"Analytics, Apps, Communication Hardware",,Operating,08/03/2012,7700000,5.29,7.7,0.788
1593,Solidia Technologies,53,"Solidia Technologieså¨, DuPont, John Deere, Rutgers University, Schering","Rutgers University, New Jersey Institute of Technology, Purdue University, Massachusetts Institute of Technology, Orta Do€Ùu Teknik ÌÏniversitesi / Middle East Technical University","Manufacturing, Science and Engineering, Data and Analytics, Design","Piscataway, New Jersey, United States",11818,Series C,,27000000,2.6,"Advanced Materials, Product Research, Industrial, Manufacturing",01/01/2008,Operating,12/09/2014,27000000,2.94,27,0.824
1594,AltSchool,191,"AltSchool, Google, Teach For America, San Francisco Unified School District, Stanford University","San Francisco State University, Stanford University, New York University, Yale University, Teachers College of Columbia University","Information Technology, Education","San Francisco, California, United States",11862,Series C,"$39,999,982",172999982,-0.8,"Education, Information Technology, Knowledge Management",01/01/2013,Operating,05/02/2017,172999982,0.55,173,0.902
1595,AlertEnterprise,130,"AlertEnterprise, SAP, Hewlett Packard Enterprise, Virsa Systems, Infosys","Panjab University, Kurukshetra University, Osmania University, Punjab Engineering College, Punjab Technical University","Information Technology, Privacy and Security","Fremont, California, United States",11936,Series B,"$19,000,000",27000000,1.3,"Enterprise, Security, Identity Management",01/01/2007,Operating,08/30/2011,27000000,6.22,27,0.784
1596,Game Closure,6,"ELITEX, DataArt, ASTRA LIMITED, Weeby.co, Teempla","Moscow Technical University of Communications and Informatics (MTUCI), California State University Fullerton, Stanford University, University of North Carolina at Chapel Hill","Gaming, Software","Mountain View, California, United States",11959,Series A,"$12,000,000",12000000,-0.5,"Web Development, Software, Gaming",01/01/2011,Operating,02/23/2012,12000000,5.74,12,0.879
1597,Amicus,121,"IBM, Deloitte, Vita Group, Technicolor, Settlement Professionals Inc.","Texas Tech University, University of Wisconsin-Madison, SGH Warsaw School of Economics, Claremont McKenna College, University of North Texas","Media and Entertainment, Software, Government and Military, Internet Services","New York, New York, United States",12059,Seed,"$3,200,000",3780000,-1.4,"Politics, Social Media, Innovation Management, Software, Non Profit",01/01/2011,Operating,11/13/2012,3780000,5.01,3.78,0.79
1599,Blazent,65,"Blazent, Hewlett Packard Enterprise, Oracle, Electronic Data Systems, Xangati","Michigan State University, University POLITEHNICA of Bucharest, Central Michigan University, University of Michigan, Columbia Business School","Information Technology, Software, Internet Services","San Mateo, California, United States",12076,Series Unknown,"$3,000,000",51275260,-0.2,"Enterprise Software, Cloud Data Services, Information Technology",09/01/2000,Operating,01/15/2014,51275260,3.84,51.275,0.804
1602,PLAE,39,"Regent University, PLAE, Iron Edge, Clemson University, Life Fitness","Kennesaw State University, Georgia State University, Clemson University, Edinburgh College of Art, San Francisco State University","Commerce and Shopping, Clothing and Apparel, Design","San Francisco, California, United States",12090,Series A,"$7,000,000",10800000,-0.3,"Fashion, Children, E-Commerce",01/01/2012,Operating,04/15/2015,10800000,2.59,10.8,0.836
1603,Violet Grey,31,"VIOLET GREY, Saks Fifth Avenue, Code and Theory, THE NET-A-PORTER GROUP, New York Magazine","New York University, Parsons School of Design - The New School, California State University-Los Angeles, SOAS University of London, The Chinese University of Hong Kong","Commerce and Shopping, Clothing and Apparel, Design","Los Angeles, California, United States",12092,Series B,"$12,858,178",17583181,-0.3,"E-Commerce, Fashion, Retail",07/04/2012,Operating,08/31/2015,17583181,2.22,17.583,0.85
1604,Coach.me,37,"US Army, Etnetera, Shaw Communications, Educational Testing Service (ETS), Nuance Communications","Vancouver Island University, California State University-Sacramento, Baldwin Wallace University, Texas A&M University-Corpus Christi, Liberty University","Biotechnology, Data and Analytics, Software, Health Care","San Francisco, California, United States",12131,Series A,"$1,100,000",3600000,-0.5,"Software, Quantified Self, Health Care",08/22/2011,Operating,12/17/2014,3600000,2.92,3.6,0.824
1605,Jiuxian.com,132,"Jiuxian.com, Vancl.com, µ¦ŽÝ _Ô, ŒÄŒÒŒÏ¬¼À_ÔÈÏ¾_Û¾Ïø(ŒÎÑŠ¼Â)¾ÏäŽªŒÉÂŒü, Š¼¼Š¼¼¾üü¾ö","China University of Geosciences (Beijing), Shanxi University, Beijing Institute of Technology, Beijing Materials Institute, Beijing Normal University","Commerce and Shopping, Food and Beverage","Beijing, Beijing, China",12179,Series G,"¥500,000,000",363795811,-0.4,"E-Commerce, Food and Beverage, Wine And Spirits",01/01/2009,Operating,07/30/2015,249963505,2.3,249.964,0.854
1606,Findery,4,"Yahoo! Inc., Etsy, Flickr, Interval Research, Creative Commons","Tokyo International University, University of Hawaii at Manoa, Brandeis University, Cleveland Chiropractic College, The New School","Software, Mobile","San Francisco, California, United States",12328,Series A,"$7,500,000",9500000,-0.4,"Mobile, Software",01/01/2011,Operating,02/16/2012,9500000,5.76,9.5,0.785
1607,Hotelogix,164,"IDS NEXT Business Solutions Pvt Ltd, Hotelogix, BlueApple Technologies Pvt. Ltd., InterGlobe Technologies, Aryaka Networks","Delhi University, Kendriya Vidyalaya, Uttar Pradesh Technical University, The Institute of Chartered Accountants of India, Lady Shri Ram College For Women","Travel and Tourism, Software","Noida, Uttar Pradesh, India",12378,Series Unknown,"$1,800,000",3000000,-0.7,"Hospitality, SaaS, Enterprise Software",01/01/2008,Operating,11/14/2014,3000000,3.01,3,0.822
1608,OkBuy.com,25,"wangyou.com, OKBUY.COM, KPMG US, Sina.com, Anta","Beijing Materials Institute, Changchun University of Technology, Northeastern University (CN)","Hardware, Commerce and Shopping, Consumer Electronics","Beijing, Beijing, China",12383,Series C,"$60,000,000",87068431,1.4,"E-Commerce, Wearables, Shopping",11/01/2007,Operating,03/01/2011,87068431,6.72,87.068,0.972
1610,Calastone,132,"Calastone, HM Revenue & Customs, SWIFT, Citi, HSBC","University of Oxford, Imperial College London, UCL, University of Bristol, University of Cambridge","Data and Analytics, Financial Services","New York, New York, United States",37009,Series B,"$11,000,000",14500000,-2,"Finance, Wealth Management, Big Data, Financial Services",04/15/2016,Operating,03/23/2017,14500000,0.65,14.5,0.897
1611,Highlight,69,"Highlight Technologies, CSCI, CACI International Inc, US Army, Marine Corps Recruiting","George Mason University, Northern Virginia Community College, James Madison University, University of Maryland Baltimore County, University of Maryland College Park","Internet Services, Mobile","San Francisco, California, United States",12463,Series Unknown,"$4,000,000",5500000,-0.7,"Local, Mobile, Search Engine",10/01/2011,Operating,12/12/2013,5500000,3.93,5.5,0.801
1612,Encored Technologies,28,"Microsoft, Samsung Electronics, TmaxSoft Inc., LG CNS Co., Ltd., Ìnima Kitchent","Pohang University of Science and Technology, Kyungpook National University, Boston University, Buckinghamshire New University, Sheffield Hallam University","Energy, Sustainability, Data and Analytics, Internet Services","Palo Alto, California, United States",12471,Series A,"$10,000,000",16500000,0.1,"Energy Efficiency, Internet of Things, Big Data, Energy Management, Analytics",04/19/2013,Operating,12/15/2015,16500000,1.93,16.5,0.862
1613,Tribogenics,43,"G E Medical Systems, Tribogenics, Internet Brands, University of California, Los Angeles, GE","Stanford University, University of California Los Angeles, California State University Northridge, University of Technology Sydney, University of California Berkeley","Manufacturing, Science and Engineering, Sustainability, Health Care","Los Angeles, California, United States",12493,Series C,,19700000,0.3,"Health Care, Recycling, Manufacturing, Advanced Materials, Industrial",07/01/2011,Operating,02/04/2016,19700000,1.79,19.7,1.318
1614,Achates Power,84,"Ford Motor Company, Achates Power, University of Wisconsin-Madison, FEV North America Inc., Cummins Inc.","University of Wisconsin-Madison, University of Michigan, San Diego State University, University of Illinois at Urbana-Champaign, Cornell University","Energy, Transportation","San Diego, California, United States",12504,Series C,"$35,200,000",54300000,1.1,"Electric Vehicle, Transportation, Energy",01/01/2004,Operating,10/09/2013,54300000,4.11,54.3,0.8
1615,BRIGHT,7453,"Bright Horizons, KinderCare, KinderCare Education, YMCA of the USA, La Petite Academy","Ashford University, San Francisco State University, University of Phoenix, University of Washington, Northeastern University","Natural Resources, Energy, Sustainability, Financial Services","San Francisco, California, United States",12578,Seed,"$4,000,000",4120000,-0.6,"FinTech, Solar",04/09/2014,Operating,08/04/2015,4120000,2.29,4.12,0.847
1616,Printi,177,"Printi, Mercado Livre Brasil, Staples Brasil, Atento, Clickon","Uninove - Universidade Nove de Julho, Universidade Paulista, Universidade Anhembi Morumbi, FGV - FundaÌ¤Ì£o Getulio Vargas, Senac SÌ£o Paulo","Commerce and Shopping, Media and Entertainment, Sales and Marketing, Content and Publishing","São Paulo, Alagoas, Brazil",12612,Private Equity,"$25,000,000",26200000,-0.2,"E-Commerce, Printing, Marketing",06/29/2012,Operating,10/07/2014,26200000,3.12,26.2,0.819
1620,Elcelyx Therapeutics,15,"Amylin Pharmaceuticals, Orexigen Therapeutics, Elcelyx Therapeutics Inc., UCB, University of California San Diego","University of California San Diego, University of Arizona, California State University Fullerton, Clarkson University, ETH Zurich",,"San Mateo, California, United States",36537,Series B,"$25,000,000",40000000,,,01/01/2014,Operating,06/28/2017,40000000,0.39,40,0.899
1621,SEVEN Networks,189,"SEVEN Networks, Schlumberger, Octel Communications, IBM, Intel Corporation","Zhejiang University, Macquarie University, Teknillinen korkeakoulu-Tekniska hÌ¦gskolan, Stanford University, Texas State Technical College-Marshall","Hardware, Software, Mobile","San Carlos, California, United States",12688,Series Unknown,"$42,000,000",126000000,3.6,"Infrastructure, Software, Wireless, Mobile",01/01/2000,Operating,12/14/2006,126000000,10.93,126,0.781
1622,Abine,18,"Abine Inc., IBM, AppHelp by AppDirect, United States Air Force, Mobius Venture Capital","Wesleyan University, Boston University, Massachusetts Institute of Technology, University of Southern California - Marshall School of Business, Sacred Heart University","Privacy and Security, Financial Services, Advertising","Boston, Massachusetts, United States",12755,Series A,"$6,467,283",6467283,-0.3,"Privacy, Ad Network, FinTech",01/01/2008,Operating,07/12/2011,6467283,6.36,6.467,0.783
1623,Orbis Education,183,"Orbis Education, Harrison College, Southern New Hampshire University, IUPUI, American InterContinental University","Ball State University, Purdue University, Butler University, Indiana University Bloomington, Indiana University‰ÛÒPurdue University Indianapolis","Health Care, Education","Indianapolis, Indiana, United States",12780,Series Unknown,"$24,334,819",37684819,1.6,"Collaborative Consumption, Health Care, Hospital, Education",11/01/2003,Operating,09/05/2012,32334819,5.2,32.335,0.789
1624,ComparaGuru.com,72,"Avon, Petsy.mx, clickOnero, Bristol-Myers Squibb, Linio Group","TecnolÌ_gico de Monterrey, Instituto PolitÌ©cnico Nacional, Universidad ETAC, Universidad de Guadalajara, Universidad Iberoamericana, Ciudad de MÌ©xico",Financial Services,"Mexico City, Distrito Federal, Mexico",12814,Series A,"$7,000,000",11000000,-0.3,Financial Services,01/01/2014,Operating,06/21/2017,11000000,0.41,11,0.804
1626,CloudShare,39,"Israel Defense Forces, CloudShare, Hewlett Packard Enterprise, WalkMe‰ã¢, GE","The Hebrew University of Jerusalem, Tel Aviv University, The Open University, Bar-Ilan University, Technion - Israel Institute of Technology","Information Technology, Software, Internet Services","Shanghai, Shanghai, China",41590,Series C,"$14,000,000",22904400,,"Cloud Data Services, Cloud Computing, Cloud Management",01/01/2013,Operating,06/09/2017,22904400,0.44,22.904,0.898
1627,LocalOye,50,"Computer Factory India Pvt Ltd, Flipkart, Bajaj Auto Ltd, Travelyaari (Mantis Technologies Pvt. Ltd.), Jombay","Anna University, Kendriya Vidyalaya, Jawaharlal Nehru Technological University, Nagpur University, National Institute of Technology Rourkela","Media and Entertainment, Real Estate, Events, Health Care, Education","Bengaluru, Karnataka, India",12861,Series A,"$5,000,000",5000000,-0.5,"Wellness, Home Services, Events, Education",01/01/2013,Operating,04/14/2015,5000000,2.6,5,0.835
1628,Butterfleye Inc,18,"Apple, Flex, Butterfleye Inc., NYU Tandon School of Engineering, San Jose State University","The Hong Kong University of Science and Technology, Santa Clara University, Northeastern University, Oregon State University, Nottingham Trent University","Hardware, Media and Entertainment, Consumer Electronics, Software, Internet Services, Video, Content and Publishing","San Mateo, California, United States",12892,Seed,"$2,000,000",3935200,-0.5,"Video Streaming, Internet of Things, Consumer Electronics, Software, Hardware",10/01/2014,Operating,10/01/2016,3935200,1.13,3.935,0.895
1629,Outdoor Voices,101,"Outdoor Voices, Nike, lululemon, Spyder Active Sports, Mutual Mobile","The University of Texas at Austin, New York University, Parsons School of Design - The New School, Fashion Institute of Technology, Middlebury College","Commerce and Shopping, Sports","New York, New York, United States",12997,Series Unknown,"$9,000,000",30100000,4.1,"Retail, Fitness, E-Commerce",01/01/2013,Operating,08/23/2017,30100000,0.24,30.1,1.049
1630,Qikpod,23,"Citrix, VMLogix, Trilogy, Blue Star Infotech, Whirlpool Corporation","Indian Institute Of Information Technology, National Institute of Technology Karnataka, National Institute of Technology Tiruchirappalli, Lancaster University, Oxford Brookes University",Transportation,"Bangalore, Karnataka, India",13009,Series A,"$9,000,000",9000000,-0.1,Logistics,01/01/2015,Operating,11/30/2015,9000000,1.97,9,0.86
1631,MindSnacks,7,"Google, Medical Scribe Systems, University of the Arts London, Adobe, SoutheastHEALTH","King's College London, University of Cambridge, Southeast Missouri State University, Montclair State University, Princeton University","Gaming, Apps, Software, Education, Mobile","San Francisco, California, United States",13048,Series Unknown,"$6,500,000",7700000,-0.3,"Language Learning, MMO Games, Mobile Apps",05/01/2010,Operating,08/02/2012,7700000,5.3,7.7,0.795
1632,QuickPay,11,"MITRA LTD, QUICKPAY, QuickPay Solutions, Quickpay Ltd","Altai State Technical University, Saint Petersburg State University of Finance and Economics","Apps, Software, Payments, Financial Services, Mobile","San Francisco, California, United States",13059,Series A,"$5,500,000",9000000,0,"Payments, Mobile, Apps",01/01/2010,Operating,12/15/2013,9000000,3.93,9,1.083
1633,Picarro,142,"Picarro Inc., Hewlett Packard Enterprise, Varian Inc., Los Gatos Research, A Member of the ABB Group, Agilent Technologies","San Jose State University, Stanford University, University of California Berkeley, Evergreen Valley College, University of California Davis","Manufacturing, Science and Engineering, Sustainability","Santa Clara, California, United States",13081,Series D,"$7,000,000",56499000,0,"GreenTech, Chemical, Manufacturing",01/01/1998,Operating,07/25/2012,56499000,5.32,56.499,0.789
1634,FetchRev,23,"LocBox, American Express, EY, Workday, Zenefits","Arizona State University, University of Arizona, Arizona State University - W. P. Carey School of Business, University of Arkansas at Little Rock, General Assembly","Commerce and Shopping, Software, Sales and Marketing, Internet Services, Advertising","Tempe, Arizona, United States",13137,Series Unknown,"$5,041,000",5041000,-0.5,"Retail, Advertising, Internet, Marketing, Local, Email Marketing, Marketing Automation",12/10/2010,Operating,06/01/2012,5041000,5.47,5.041,0.787
1635,Leyden Energy,16,"Eaton's Bussmann Business, Autocam, ENOVIX Corporation, IBM, Philips","University of Phoenix, Nanchang University, Zhejiang University, Birla Institute of Technology and Science, Pilani, University of California Davis","Manufacturing, Science and Engineering, Energy","Fremont, California, United States",13146,Series C,"$10,000,000",46801000,0,"Chemical, Energy Storage, Manufacturing, Battery",01/01/2007,Operating,01/23/2013,46801000,4.82,46.801,0.698
1636,Scalus,2,"TIBCO Loyalty Lab, Walt Disney World, 500friends, a Merkle Company, Consultant / Independent, TIBCO Software Inc.","University of Florida, University of Oregon","Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",13165,Series Unknown,"$10,000,000",10000000,0.1,"Software, Project Management, Collaboration, Email",01/01/2014,Operating,10/20/2015,10000000,2.08,10,1.137
1637,"LockPath, Inc.",78,"Lexmark Enterprise Software, LockPath Inc., RSA Security, Bolder Anesthesia Solutions, Sprint","The University of Kansas, Johnson County Community College, Kansas State University, Pittsburg State University, Baker University","Information Technology, Privacy and Security","Overland Park, Kansas, United States",13174,Series B,"$6,000,000",8000000,-0.2,"Cyber Security, Risk Management",01/01/2010,Operating,07/16/2012,8000000,5.34,8,0.788
1639,Govini,25,"Boeing, Onvia, OnPoint, The Advisory Board Company, Govini","Georgetown University, University at Albany, SUNY, University of Michigan College of Engineering, Fudan University, Universidad Internacional MenÌ©ndez Pelayo","Data and Analytics, Software","San Francisco, California, United States",13192,Series C,"$20,000,000",20000000,-0.4,"Analytics, Business Intelligence, Database",01/01/2011,Operating,05/07/2015,20000000,2.53,20,0.745
1641,Palantir Technologies,1992,"Palantir Technologies, Google, Microsoft, Stanford University, Cornell University","Stanford University, Cornell University, Massachusetts Institute of Technology, University of Oxford, Carnegie Mellon University","Gaming, Apps, Software, Mobile","Mumbai, Maharashtra, India",21853,Series Unknown,"$801,500",9301500,-0.7,"Mobile, Video Games, Mobile Apps, Gaming",01/01/2000,Operating,11/28/2013,9301500,3.97,9.302,1.262
1642,Recyclebank,78,"Recyclebank, Waste Management, American Express, Hewlett Packard Enterprise, PwC","New York University, University of Oregon, Temple University, University of Pennsylvania, University of Virginia Darden School of Business","Energy, Commerce and Shopping, Sustainability, Sales and Marketing, Advertising","New York, New York, United States",13238,Series Unknown,,85200000,-0.3,"Advertising, E-Commerce, Marketing, Renewable Energy, Recycling",01/01/2004,Operating,10/17/2011,85200000,6.09,85.2,0.786
1644,Ark,169,"Ark Restaurants, The Ritz-Carlton Hotel Company, L.L.C., Maialino, Cape Resorts, The Phillips Collection","Fashion Institute of Technology, The George Washington University, Johnson & Wales University, College of Southern Nevada, University of Arizona","Information Technology, Internet Services","San Francisco, California, United States",13260,Seed,"$4,200,000",4450000,-0.9,"Information Technology, Search Engine",01/01/2010,Operating,04/25/2012,4450000,5.57,4.45,0.786
1645,Musical.ly,169,"SAP, Google, musical.ly Inc., Vine, Microsoft","Tongji University, Fudan University, Shanghai Jiao Tong University, Zhejiang University, University of Southern California","Media and Entertainment, Music and Audio, Internet Services, Video","Santa Monica, California, United States",13263,Series C,"$130,000,000",146850000,-6.3,"Music, Internet, Video",01/01/2014,Operating,05/13/2016,146850000,1.52,146.85,0.882
1646,Wildcard,21,"University of Wisconsin Oshkosh, University of Wisconsin-Stevens Point, Wildcard Corp., WAUSAU Financial Systems, a Deluxe Company, Creative Information Technology Inc.","University of Wisconsin-Stevens Point, Mid-State Technical College, University of Wisconsin-Milwaukee, University of Wisconsin Oshkosh, University of Waterloo",Mobile,"New York, New York, United States",13282,Series A,"$7,000,000",10000000,-0.2,Mobile,01/01/2013,Operating,08/06/2014,10000000,3.28,10,0.814
1647,R2 Semiconductor,19,"Texas Instruments, Maxim Integrated, Altera, Radia Communications, Nokia","University of Limerick, Santa Clara University, Indian Institute of Technology Bombay, University of Science and Technology of China, UCSC Silicon Valley Extension","Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Sunnyvale, California, United States",13293,Series Unknown,"$7,000,000",42158297,1.2,"Manufacturing, Electronics, Semiconductor",01/01/2008,Operating,04/27/2016,42158297,1.56,42.158,0.877
1648,Mesosphere,266,"Oracle, VMware, Mesosphere Inc., IBM, Cisco","University of California Berkeley, Stanford University, University of California Santa Barbara, San Francisco State University, University of Washington","Hardware, Information Technology, Software, Internet Services","San Francisco, California, United States",13371,Series C,"$73,500,000",122250000,-2.1,"Cloud Infrastructure, Data Center Automation, Cloud Computing, Enterprise Software",03/01/2013,Operating,03/24/2016,122250000,1.65,122.25,1.214
1649,Jifflenow,123,"Act-On Software Inc., Jifflenow, Tech Events Inc., Cisco, VERISIGN","Visvesvaraya Technological University, Bangalore University, University of Mysore, California State University Chico, California State University-Sacramento","Media and Entertainment, Information Technology, Data and Analytics, Events, Software, Sales and Marketing, Messaging and Telecommunications","Sunnyvale, California, United States",13385,Series Unknown,"$4,000,000",6000000,-0.7,"Event Management, Software, Analytics, Direct Sales, Events, Meeting Software, Sales Automation, B2B",01/01/2006,Operating,08/13/2015,6000000,2.27,6,0.848
1650,Grammarly,147,"Grammarly, Ciklum, GlobalLogic, Luxoft, EPAM Systems","National Technical University of Ukraine 'Kyiv Polytechnic Institute'‰ÛÜ, Kiev National Taras Shevchenko University, National University 'Ivan Franko'‰ÛÜ , Lviv, National Aviation University, Massachusetts Institute of Technology","Apps, Media and Entertainment, Software, Education, Content and Publishing","San Francisco, California, United States",13395,Series Unknown,"$110,000,000",110000000,-4,"Education, Blogging Platforms, Language Learning, Apps, EdTech",02/01/2008,Operating,05/08/2017,110000000,0.53,110,0.807
1652,"Julia Computing, Inc.",16,"Massachusetts Institute of Technology, Lab49, Hewlett Packard Enterprise, LinkÌ¦ping University, Typesafe (now Lightbend)","Harvard University, National Institute of Technology Karnataka, University of California Santa Barbara, Queen Mary University of London, University of Oxford",Software,,13461,Non-equity Assistance,,4600000,1.2,Software,01/01/2013,Operating,06/23/2017,4600000,0.4,4.6,1.198
1653,Lattice Power,34,"Lumileds, LatticePower Corporation, Seoul Semiconductor, Cellon, SDL plc","Jiangxi Normal University, Zhejiang University, China Europe International Business School (CEIBS), Fudan University, Huaiyin Institute of Technology","Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Nanchang, Hebei, China",13466,Private Equity,"$80,000,000",195500000,2.2,"Electronics, Semiconductor, Manufacturing",01/01/2006,Operating,07/01/2014,195500000,3.38,195.5,0.817
1654,Samlino.dk,18,"Samlino.dk, Telmore, Berlingske Media, Ekstra Bladet, Clear Channel Danmark A/S","Copenhagen Business School, Erhvervsakademi Dania, University of Southern Denmark, Aarhus University, Harvard Business School","Commerce and Shopping, Financial Services","Copenhagen, Hovedstaden, Denmark",13476,Series Unknown,"kr150,000,000",20463040,-0.3,"Price Comparison, FinTech",12/01/2013,Operating,08/30/2016,20463040,1.22,20.463,0.887
1656,Forus Health,116,"Forus Health Private Limited, Philips, Siemens Healthineers, Intel Corporation, ReaMetrix","Visvesvaraya Technological University, University of Calcutta, JIS College of Engineering, Bangalore University, Jawaharlal Nehru Technological University",Health Care,"Bangalore, Karnataka, India",13544,Series B,"$8,400,000",13400000,-0.4,"Health Care, Medical, Medical Device",01/01/2010,Operating,01/09/2014,13400000,3.86,13.4,0.803
1657,Organizer,50,"Hungry Howie's Pizza, Thomson Reuters, Florida Democratic Party, Staples, Restaurant ElbjÌürn","Dhaka International University, Aalborg Universitet, UCN, ProfessionshÌüjskolen University College Nordjylland, Ramkhamhaeng University, Marmara University","Software, Government and Military","San Francisco, California, United States",13562,Series Unknown,"$3,900,000",3900000,-0.2,"Consulting, Politics, Business Development, Software",01/01/2010,Operating,09/11/2011,3900000,6.19,3.9,0.69
1658,Distractify,16,"New York University, Thought Catalog, SpinMedia Group Inc., NYU Langone Health, Lieberman Research Worldwide","New York University, University at Buffalo, University of Pennsylvania, The University of Hull, University of Oxford","Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",13564,Series A,"$7,000,000",7000000,-0.2,"Social Media, Media and Entertainment, News",10/01/2013,Operating,06/23/2014,7000000,3.41,7,0.811
1659,Quarterly,33,"Pearson, Common Impact, Wikimedia Foundation, Boston University, Northeast Action Inc","University of San Diego, Boston University, University of Pennsylvania, Indiana University Bloomington, Lasell College","Commerce and Shopping, Financial Services","Culver City, California, United States",13715,Convertible Note,,4200000,-0.8,"E-Commerce, Gift Card",05/01/2011,Operating,09/02/2015,4200000,2.21,4.2,0.85
1660,Nodality,5,"XOMA, Institute for Systems Biology, University of Washington, Pathway Therapeutics Ltd, Nodality Inc.","University of California San Diego, Stanford University Graduate School of Business, University of California Los Angeles, Yale University, University of Washington","Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States",13732,Debt Financing,"$9,999,999",47039999,0,"Biotechnology, Clinical Trials, Health Diagnostics",01/01/2003,Operating,08/08/2011,37040000,6.28,37.04,0.784
1662,Transonic Combustion,14,"Inamed, Deloitte, PwC, Peat Marwick, Swri","Hokkaido University, California State University Northridge, Pepperdine Graziadio School of Business and Management, Alfred University, Carnegie Mellon University","Energy, Sustainability, Transportation","Camarillo, California, United States",13886,Debt Financing,,44000000,1.4,"Automotive, CleanTech, Clean Energy",01/01/2006,Operating,03/31/2014,44000000,3.64,44,0.808
1663,Zinka Logistics,491,"Flipkart, BlackBuck (Zinka Logistics Solutions Pvt. Ltd.), Ola (ANI Technologies Pvt. Ltd), ITC Limited, Delhivery","Indian Institute of Technology Kharagpur, Bangalore University, Birla Institute of Technology and Science, Pilani, Indian Institute of Technology Bombay, Indian Institute of Technology Roorkee","Transportation, Internet Services","Bengaluru, Karnataka, India",13937,Series A,"$6,000,000",6000000,-0.3,"Logistics, Supply Chain Management, Internet",01/01/2014,Operating,06/25/2015,6000000,2.4,6,0.749
1664,Mascoma,49,"Mascoma LLC, Dartmouth College, University of New Hampshire, Massachusetts Institute of Technology, Novozymes","University of New Hampshire, Dartmouth College, Institut national des Sciences appliquÌ©es de Toulouse, Delft University of Technology, Colorado State University","Biotechnology, Natural Resources, Science and Engineering, Energy, Sustainability","Boston, Massachusetts, United States",14041,Debt Financing,"$50,000,000",179800000,1.9,"Biofuel, CleanTech, Biomass Energy, Biotechnology",01/01/2005,Operating,08/19/2011,95000000,6.25,95,0.786
1665,Octro,66,"Aricent, The National Institutes of Health, Acuminous Software Private Ltd, inoXapps, Bennett Coleman and Co. Ltd. (Times Group)","Netaji Subhas Institute of Technology, Uttar Pradesh Technical University, Kendriya Vidyalaya, Maharshi Dayanand University, Mahatma Gandhi University","Gaming, Mobile","New Delhi, Delhi, India",14090,Series A,"$15,000,000",15000000,0,"Gaming, Online Games, Mobile",01/01/2006,Operating,06/04/2014,15000000,3.46,15,0.81
1666,Azumio,22,"Azumio Inc., ShoZu, Santa Clara University, Sutter Health, Mount Hermon Association Inc.","University of California Berkeley, Punjab Technical University, Univerza v Mariboru, University of California Davis, University of California Riverside","Apps, Software, Sports, Mobile","Palo Alto, California, United States",14099,Series Unknown,"$916,215",3416215,-0.4,"Enterprise Software, Mobile Apps, Fitness",01/01/2011,Operating,08/12/2014,3416215,3.27,3.416,1.152
1667,Keepsafe,21,"Google, Citi, Big Brothers Big Sisters of the Bay Area, Say Media, Facebook","Technische UniversitÌ_t Berlin, Udacity, KoÌ¤ University, Yildiz Technical University, University of California Berkeley",Privacy and Security,"San Francisco, California, United States",14119,Series A,"$3,400,000",4100000,-0.8,"Privacy, Security",01/01/2012,Operating,07/16/2013,4100000,4.34,4.1,0.803
1668,BOOM,61,"DMC Global Inc., KÌ_rcher North America Inc., Johns Manville, The Lubrizol Corporation, Lincoln Electric","University of Colorado Denver, DePaul University, Southern Methodist University, The University of Texas at Austin, Virginia Tech","Media and Entertainment, Sales and Marketing, Internet Services, Advertising","London, England, United Kingdom",14136,Series A,"$11,000,000",11000000,-0.3,"Advertising, Small and Medium Businesses, Social Media, Content",10/01/2013,Operating,02/01/2016,11000000,1.79,11,0.868
