Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Sandler Capital,/organization/sandler-capital,33,12,"New York, New York, United States",Sandler Capital is a New York-based alternative asset management firm managing both hedge fund strategies and private equity funds.,"12,100",0,Hedge Fund,"Early Stage Venture, Late Stage Venture"
Brentwood Venture Capital,/organization/brentwood-venture-capital,39,12,"Menlo Park, California, United States",Brentwood Venture Capital is a California-based principal investment firm that funds information technology and healthcare companies.,"12,156",-0.7,Venture Capital,
MDS Capital,/organization/mds-capital,27,12,"New York, New York, United States",MDS Capital Corp. was established in 1988 to participate in the financing and development of health-related technologies.,"12,554",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Attractor Investment Management,/organization/attractor-investment-management,23,12,"Seattle, Washington, United States","Founded 1996 Employees 4 Burlingame, CA 650/685-8540www.attractor.com Tech IPOs 3 2000 equi-return 46.6% MARKET Private venture capital","13,561",-0.2,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
Wakefield Group,/organization/wakefield-group,34,12,"Charlotte, North Carolina, United States",Wakefield Group is a VC firm that invests in Southeast of the United States.,"13,624",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Court Square Ventures,/organization/court-square-ventures,26,12,"Charlottesville, Virginia, United States","Court Square Ventures is a venture capital firm that invests in early-stage communications, information technology, and media companies,","13,907",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Egan-Managed Capital,/organization/egan-managed-capital,51,12,"Boston, Massachusetts, United States",Egan-Managed Capital was formed by the Egan family with the objective of helping future entrepreneurs build significant enterprises.,"15,938",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Selby Venture Partners,/organization/selby-venture-partners,46,12,"Menlo Park, California, United States","Selby Ventures invests in businesses based on digital media, IT and communications, and sustainable technology.","16,806",-0.7,Venture Capital,"Early Stage Venture, Late Stage Venture"
InveStar Capital,/organization/investar-capital,29,12,"San Jose, California, United States","Founded in 1996, InveStar Capital, Inc. is a venture capital firm with offices in the United States and Taiwan. We, at InveStar, focus on","17,061",-0.4,Venture Capital,Early Stage Venture
Dolphin Equity Partners,/organization/dolphin-equity-partners,29,12,"New York, New York, United States","Dolphin Equity Partners specializes in investing in emerging media and marketing services, enterprise services, technology and","18,064",-0.9,Venture Capital,"Early Stage Venture, Late Stage Venture"
Yasuda Enterprise Development,/organization/yasuda-enterprise-development,28,12,"Menlo Park, California, United States","Yasuda Enterprise Development, a venture capital firm, finances technology companies based in Japan, the United States, and other countries.","19,548",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
Lux Capital,/organization/lux-capital,152,11,"New York, New York, United States","VC based in NYC and Menlo Park investing in counter-conventional, early-stage science and tech ventures, with $1.1B AUM across 5 funds.",279,4,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
International Finance Corporation,/organization/international-finance-corporation,91,11,"Washington, District of Columbia, United States",International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,409,2.9,Private Equity Firm,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Naspers,/organization/naspers,62,11,"Cape Town, NA - South Africa, South Africa",Naspers is a multinational media and internet group with technology investments and operations in more than 130 markets.,414,3.1,,
BNP Paribas,/organization/bnp-paribas-private-equity,48,11,"Paris, Ile-de-France, France",BNP Paribas is a French private equity firm that provides a range of asset management services to its institutional and retail clients.,444,6.1,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Debt"
Amplify.LA,/organization/amplify-la,93,11,"Los Angeles, California, United States","Amplify is a hands-on startup accelerator and multi-faceted entrepreneurial campus in Los Angeles, California.",450,-0.1,Accelerator,"Seed, Early Stage Venture"
Hewlett-Packard,/organization/hewlett-packard,29,11,"Palo Alto, California, United States","Hewlett-Packard provides products, technologies, software, solutions, and services to individual consumers and SMBs.",512,3.6,,
IP Group Plc,/organization/ip-group-plc,132,11,"London, England, United Kingdom",IP Group's core business is the creation of value for its shareholders and partners through the commercialisation of intellectual property,565,-4.1,Government Office,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Steve Case,/person/steve-case,37,11,"Washington, District of Columbia, United States","Steve Case is one of America's best-known and most accomplished entrepreneurs, and a pioneer in making the Internet part of everyday life. H...",760,7.5,"Investment Partner, Individual/Angel",Seed
Reuters,/organization/reuters,22,11,"London, England, United Kingdom","Reuters is a news agency providing international and national news coverage related to business, investment, technology, and more.",826,0.6,,
Innovation Endeavors,/organization/innovation-endeavors,127,11,"Palo Alto, California, United States","Innovation Endeavors is an early- and expansion-stage venture capital firm with offices in Herzliya, New York City and Silicon Vallley.",967,-3.2,Venture Capital,"Seed, Early Stage Venture"
Sinovation Ventures,/organization/sinovation-ventures,161,11,"Beijing, Beijing, China",Sinovation Ventures is a full-services venture capital firm that actively invests in the Chinese and U.S. marketplaces.,"1,032",-0.1,Venture Capital,"Seed, Early Stage Venture"
U.S. Bancorp,/organization/u-s-bancorp,21,11,"Minneapolis, Minnesota, United States","U.S. Bancorp is a financial holding company, offers banking, investment, mortgage, trust, and payment services and products for its clients ","1,340",4.8,Investment Bank,"Late Stage Venture, Private Equity, Debt"
SamsungNEXT Ventures,/organization/samsungnext,87,11,"Mountain View, California, United States",Samsung NEXT Ventures invests in transformative early-stage software and services startups.,"1,779",2.4,Venture Capital,"Seed, Early Stage Venture"
Piper Jaffray,/organization/piper-jaffray,27,11,"London, England, United Kingdom",Piper Jaffray is a full-service investment bank and asset management firm serving clients in the U.S. and internationally.,"1,909",4.4,,
Daniel Curran,/person/daniel-curran,117,11,"San Francisco, California, United States",Available to advise/help fund/lead USA startups with over $200k ARR: dcurran at custex dot com. 2016 A16Z deal: http://bit.ly/2d67xJc with f...,"2,171",-0.9,Individual/Angel,"Early Stage Venture, Seed"
Aster Capital,/organization/aster-capital,129,11,"Paris, Ile-de-France, France",Aster is a VC firm organized as a business hub – a new growth accelerator for startups that are looking to disrupt industry models,"2,472",-1.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Oak Hill Capital Partners,/organization/oak-hill-capital-partners,26,11,"New York, New York, United States","Oak Hill Partners is a private equity firm headquarted in Stamford, Connecticut. Robert M. Bass is the firms lead investor. Oak Hill","2,547",-1.8,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Harmony Partners,/organization/harmony-partners,48,11,"New York, New York, United States",Harmony Partners is a New York-based boutique venture capital firm that invests in expansion stage companies,"2,655",1.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Secondary Market"
Bezos Expeditions,/organization/bezos-expeditions,59,11,"Mercer Island, Washington, United States",Bezos Expeditions manages Jeff Bezos' personal venture capital investments.,"2,729",-5.8,Family Investment Office,"Seed, Early Stage Venture, Late Stage Venture"
GMO VenturePartners,/organization/gmo-venturepartners,64,11,"Tokyo, Tokyo, Japan",GMO Venture Partners is an early and growth stage investment subsidiary of GMO Internet Group. Invested in over 50 companies.,"2,853",1.9,Venture Capital,"Seed, Early Stage Venture"
Oxford Capital Partners,/organization/oxford-capital-partners,157,11,"Oxford, Oxfordshire, United Kingdom","Oxford Capital is an experienced technology venture capital investor, based in London and Oxford.","3,005",-0.8,Venture Capital,"Seed, Early Stage Venture"
Hyde Park Angels,/organization/hyde-park-angels,79,11,"Chicago, Illinois, United States",Hyde Park Angels is a venture capital group that focuses on angel investments.,"3,162",-2.7,Angel Group,"Seed, Early Stage Venture, Late Stage Venture"
Citi Ventures,/organization/citi-ventures,57,11,"Palo Alto, California, United States","Citi Ventures is Citi's global corporate venturing arm, chartered to collaborate with internal and external partners to conceive, partner,","3,271",-5.7,"Venture Capital, Corporate Venture Capital",Early Stage Venture
StartUp Health,/organization/startup-health,186,11,"New York, New York, United States",StartUp Health is organizing and supporting a global army of Health Transformers to improve the health & wellbeing of everyone in the world,"3,305",-0.7,Accelerator,"Seed, Early Stage Venture, Crowdfunding"
Northstar Ventures,/organization/northstar-ventures,468,11,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Northstar is a venture capital firm with over £100m under management, investing in high-growth industries.","3,365",-0.5,"Micro VC, Venture Capital","Seed, Early Stage Venture, Late Stage Venture"
IA Capital Group,/organization/inter-atlantic-group,35,11,"New York, New York, United States",IA Capital Group is an investment firm that makes venture and growth capital investments in financial and business services companies.,"3,452",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Structure Capital,/organization/structure-capital,67,11,"San Francisco, California, United States","Early stage VC fund. First round investor in Uber, Breather, Laurel and Wolf, Cargomatic, Shyp, Salesforce","3,657",-2.5,Micro VC,"Seed, Early Stage Venture"
Vayner/RSE,/organization/vayner-rse,66,11,"New York, New York, United States",Vayner/RSE is a New York-based venture capital firm specialized in institutional financing and seed-stage investments.,"3,799",-0.2,Micro VC,"Seed, Early Stage Venture, Late Stage Venture"
ECI Partners,/organization/eci-partners,23,11,"London, England, United Kingdom",ECI Partners is a London-based private equity firm that invests in medium-sized growth companies.,"4,104",5.6,Private Equity Firm,
Kreos Capital,/organization/kreos-capital,38,11,"London, England, United Kingdom",Kreos Capital is a European venture capital firm that provides financing solutions for high-growth companies across Europe and Israel.,"4,639",-3.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Third Point Ventures,/organization/third-point-ventures,49,11,"New York, New York, United States","Third Point Ventures is the venture capital arm of Third Point LLC, a registered investment adviser based in New York, with approximately","4,740",-2.4,Hedge Fund,"Early Stage Venture, Late Stage Venture"
Yaletown Partners,/organization/yaletown-venture-partners,45,11,"Vancouver, British Columbia, Canada",Yaletown is a venture capital firm that focuses on early stage cleanteach and IT investments in the pacific northwest and western Canada.,"4,898",1.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
RiverVest,/organization/rivervest,44,11,"St Louis, Missouri, United States",RiverVest is a venture capital firm which focuses on identifying and shaping early stage life science companies to create shareholder value.,"4,941",-1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Passport Capital,/organization/passport-capital,28,11,"San Francisco, California, United States","Passport Capital LLC is a San Francisco based, global investment firm founded by John H. Burbank III in 2000. The firm manages","5,088",0.5,Hedge Fund,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Contour Venture Partners,/organization/contour-ventures,71,11,"New York, New York, United States",Contour Venture Partners is an early stage venture capital firm.,"5,143",-1.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Access Venture Partners,/organization/access-venture-partners,65,11,"Westminster, Colorado, United States",Access Venture Partners is an entrepreneur-focused fund investing in early growth technology companies in the Rocky Mountain region,"5,654",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
S3 Ventures,/organization/s3-ventures,50,11,"Austin, Texas, United States","S3 Ventures is an early, expansion and growth stage venture capital firm that invests in information technology and medical device companies","5,673",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture"
Neu Venture Capital,/organization/neu-venture-capital,52,11,"New York, New York, United States","Neu Venture Capital, a New York-based investor, specializes in real-time persistent connectivity, data visualization, and machine learning.","5,967",-1,Venture Capital,"Seed, Early Stage Venture"
American Capital,/organization/american-capital,31,11,"Bethesda, Maryland, United States","American Capital (Nasdaq:ACAS), with $20 billion in capital resources under management,1 is the only private equity fund and the largest","6,171",0.7,"Venture Capital, Private Equity Firm, Venture Debt","Early Stage Venture, Late Stage Venture, Debt"
Vision Capital,/organization/vision-capital,25,11,"London, England, United Kingdom","Vision Capital buys companies, mainly in whole portfolios, from organizations that wish to exit from their investments.","6,291",3.7,Venture Capital,"Early Stage Venture, Late Stage Venture"
Aol Ventures,/organization/aol-ventures,37,11,"New York, New York, United States",Aol Ventures was a New York-based early-stage venture capital firm focused on investments in technology-centric software companies.,"6,455",-0.7,Corporate Venture Capital,"Seed, Early Stage Venture"
NYC Seed,/organization/nyc-seed,39,11,"Brooklyn, New York, United States","NYC Seed is a New York City-based seed venture capital firm. It is a partnership between ITAC, New York City Investment Fund, The New York","6,535",-0.1,Angel Group,"Seed, Early Stage Venture"
ITOCHU Corporation,/organization/itochu-corporation,41,11,"Tokyo, Tokyo, Japan",ITOCHU is a general trading company based in Japan.,"6,583",-0.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Mesa Ventures,/organization/mesa-ventures,55,11,"New York, New York, United States","Mesa Ventures is an early-stage venture capital firm focused on e-commerce, media, enterprise software, and mobile technologies.","6,644",-0.1,Micro VC,"Seed, Early Stage Venture"
Endeavour Vision,/organization/endeavour-vision,38,11,"Switzerland, Europe",Growth and venture capital for medical technologies and digital health,"6,672",-1.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Venture"
William Blair,/organization/william-blair,23,11,"Chicago, Illinois, United States",William Blair is a global investment banking and asset management firm.,"6,765",-1.2,Venture Capital,
UPS Strategic Enterprise Fund,/organization/ups-strategic-enterprise-fund,32,11,"Atlanta, Georgia, United States","The Strategic Enterprise Fund (the ""SEF"") is the private equity strategic investment arm of UPS.","6,834",-1,Corporate Venture Capital,
Milestone Venture Partners,/organization/milestone-venture-partners,55,11,"New York, New York, United States",Milestone is an early stage venture capital fund with $108m under management which invests in software and data services businesses.,"6,905",-2.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
QVT Financial,/organization/qvt-financial,14,11,"New York, New York, United States",QVT Financial LP is a privately owned hedge fund sponsor. The firm provides its services to pooled investment vehicles. It invests in the,"7,047",-1.1,Hedge Fund,"Early Stage Venture, Late Stage Venture, Private Equity"
Applied Ventures,/organization/applied-ventures,47,11,"Santa Clara, California, United States","Applied Ventures is the venture capital fund of Applied Materials, Inc., (NASDAQ: AMAT), the global leader in nanomanufacturing technology","7,349",-1.2,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Aberdare Ventures,/organization/aberdare-ventures,63,11,"San Francisco, California, United States","Aberdare Ventures offers the healthcare industry with seed, early, and later stage venture, private equity, and grants investments.","7,520",-1.3,Venture Capital,"Seed, Grant, Late Stage Venture, Early Stage Venture, Private Equity"
BYU Cougar Capital,/organization/cougar-capital,40,11,"Provo, Utah, United States",BYU Cougar Capital is a student-run venture capital and private equity fund run by 2nd-year MBA students.,"7,717",-1.7,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Partnership Fund for New York City,/organization/new-york-city-investment-fund,37,11,"New York, New York, United States",The Partnership Fund for New York City is the investment arm of the Partnership for New York City.,"7,761",-0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
NGEN Partners,/organization/ngen-ventures,58,11,"Santa Barbara, California, United States",NGEN Partners is an active venture investor committed to backing world class entrepreneurs.,"7,823",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Georges Harik,/person/georges-harik,34,11,,"Georges Harik was Director of Googlettes, a start-up incubator that operated inside Google, and a Distinguished Engineer at Google. As Direc...","7,989",-0.5,Individual/Angel,Seed
Allen DeBevoise,/person/allen-debevoise,33,11,"Los Angeles, California, United States",Allen DeBeviose started Third Wave in 2014 after more than 30 years experience incubating and investing in digital media companies. He has i...,"7,998",-0.8,Individual/Angel,Seed
@Ventures,/organization/ventures,25,11,"Waltham, Massachusetts, United States",@Ventures is a Massachusetts-based company that provides venture capital and growth resources to early-stage clean technology companies.,"8,065",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Bear Stearns,/organization/bear-stearns,21,11,"Atlanta, Georgia, United States","Bear Stearns is an investment banking, securities trading and brokerage firm.","8,236",-0.5,Investment Bank,"Early Stage Venture, Late Stage Venture"
Imlay Investments,/organization/imlay-investments,43,11,"Atlanta, Georgia, United States",Imlay Investments is a Georgia-based private investment firm that funds early-stage technology companies.,"8,851",-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Starfish Ventures,/organization/starfish-ventures,49,11,"Melbourne, Victoria, Australia","Starfish Ventures is an Australian venture capital firm focused on information technology, life sciences, and clean technology companies.","8,867",-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Bob Pasker,/person/bob-pasker,31,11,"New York, New York, United States","Bob Pasker has been building successful technology companies and products for over 25 years. His deep understanding of the software, hardwar...","9,239",-0.9,"Investment Partner, Individual/Angel",Seed
Raj Sandhu,/person/raj-sandhu,33,11,"San Francisco, California, United States","Raj is an early stage investor and entrepreneur. He co-founded, seed-funded and led Modulus Video (acquired by Motorola) until its series A....","9,856",1.6,Individual/Angel,Seed
Nordic Venture Partners,/organization/nordic-venture-partners,31,11,"Copenhagen, Hovedstaden, Denmark",Nordic Venture Partners (NVP) is a venture capital firm with a portfolio of investments in the Information and Communications Technology,"9,925",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Technology Venture Partners,/organization/technology-venture-partners,49,11,"Pyrmont, New South Wales, Australia","Technology Venture Partners is one of Australia's leading venture capital firms. TVP is specialized in investment in the information,","9,983",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Frazier Technology Ventures,/organization/frazier-technology-ventures,38,11,"Seattle, Washington, United States",Venture capital firm focused on investments in the northwest.,"10,162",-0.4,Venture Capital,
Summer@Highland,/organization/summer-highland,50,11,"Boston, Massachusetts, United States","Summer@Highland provides mentoring, office space, and resources for student-founded start-ups.","10,513",0.2,Accelerator,
Paul Sethi,/person/paul-sethi,34,11,,,"10,520",-1.2,Individual/Angel,Seed
Rose Tech Ventures,/organization/rose-tech-ventures,40,11,"New York, New York, United States",Rose Tech Ventures is an early stage investment fund that provides investments to ventures.,"10,551",-0.2,Incubator,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Cross Atlantic Capital Partners,/organization/cross-atlantic-capital-partners,47,11,"Radnor, Pennsylvania, United States",Cross Atlantic Capital Partners is a venture capital firm with a distinct perspective. They currently manage four venture funds with over,"10,923",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
The Entrepreneurs' Fund,/organization/the-entrepreneurs-fund-iii,32,11,"San Mateo, California, United States","The Entrepreneurs' Fund IV (TEF4) is a Silicon Valley based, early-stage venture fund focused on cloud-based business-to-business software","11,125",-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
CIBC Capital Partners,/organization/cibc-capital-partners,30,11,"Toronto, Ontario, Canada","CIBC Capital Partners develop customized solutions that enable them to access capital, expand their operations and actively invest.","11,160",-0.6,,
Baker Capital,/organization/baker-capital,33,11,"New York, New York, United States",Baker Capital is a New York-based private equity firm that is looking to capitalize on the opportunity in the communications industry,"11,248",-0.4,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
DB Capital Ventures,/organization/db-capital-ventures,17,11,"New York, New York, United States",DB Capital Ventures invests in early-stage and emerging growth businesses and is a venture capital firm based in New York.,"11,395",2.1,Venture Capital,Late Stage Venture
BioMedPartners,/organization/biomedpartners,42,11,"Basel, Basel-Stadt, Switzerland",BioMedPartners is one of the leading European venture capital firms.,"11,487",-0.8,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
Desjardins Venture Capital,/organization/desjardins-venture-capital,40,11,"Lévis, Quebec, Canada",Desjardins Venture Capital is the venture capital fund management arm of the Mouvement des caisses Desjardins.,"11,652",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Sunbridge Partners,/organization/sunbridge-partners,37,11,"Beachwood, Ohio, United States",IT venture capital is an Ohio-based venture capital firm investing in technology companies based in the U.S.,"12,733",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Sabby Capital,/organization/sabby-capital,12,11,"Upper Saddle River, New Jersey, United States",Sabby Capital is a New Jersey-based investment advisory firm focused on the healthcare industry.,"13,071",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
BEV Capital,/organization/bev-capital,35,11,"Stamford, Connecticut, United States",BEV Capital is a specialized venture capital fund focused on consumer-oriented businesses. The core of our business is investing in,"13,124",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
BlueStream Ventures,/organization/bluestream-ventures,33,11,"Stillwater, Minnesota, United States","We are BlueStream Ventures, a venture capital partnership focused on technology companies in communications, enterprise and infrastructure","13,404",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
DFJ Portage Ventures,/organization/dfj-portage-ventures,25,11,"Northfield, Minnesota, United States","DFJ Portage Ventures invests anywhere from $500,000 to over $20 million in seed and early stage companies","13,930",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Texas Venture Labs,/organization/texas-venture-labs,81,11,"Austin, Texas, United States","Housed at the AT&T Executive Education and Conference Center, Jon Brumley Texas Venture Labs (TVL) provides direct links to the","14,805",-0.6,Accelerator,Non Equity Assistance
Care Capital,/organization/care-capital,31,11,"Princeton, New Jersey, United States","Care Capital, a life science–focused venture capital firm, invests in entrepreneurial companies that are developing pharmaceutical assets.","15,029",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Iroquois Capital,/organization/iroquois-capital,17,11,"Nashville, Tennessee, United States","Iroquois Capital, a private equity firm, specializes in seed- to late-stage, turnaround, growth capital, and PIPE investments.","15,437",-0.6,Venture Capital,"Late Stage Venture, Private Equity"
Argo Global Capital,/organization/argo-global-capital,33,11,"Wakefield, Massachusetts, United States",Argo Global Capital is a venture capital firm.,"17,253",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Vesbridge Partners,/organization/vesbridge-partners,31,11,"Wakefield, Massachusetts, United States",Vesbridge Partners is a venture capital firm specializing in early stage and seed/startup investments.,"18,102",0,Venture Capital,"Early Stage Venture, Late Stage Venture"
Innovations Kapital,/organization/innovations-kapital,37,11,"Göteborg, Vastra Gotaland, Sweden",InnovationsKapital was founded in 1994 and is a leading independent venture capital firm for innovative growth companies in the Nordic,"18,324",-0.8,Venture Capital,"Early Stage Venture, Late Stage Venture"
i-Hatch Ventures,/organization/i-hatch-ventures,25,11,"New York, New York, United States","i-Hatch Ventures was formed in February of 1999 to provide experienced capital to early-stage technology ventures, primarily in the mobile","18,879",-0.9,Venture Capital,"Early Stage Venture, Late Stage Venture"
ORIX Venture Finance,/organization/orix-venture-finance,15,11,"Dallas, Texas, United States","The ORIX Venture Finance team is highly experienced, dedicated, and adept at structuring flexible financing packages.","19,478",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Dawntreader Ventures,/organization/dawntreader-ventures,19,11,"New York, New York, United States","Dawntreader Ventures is a private equity and venture capital investment firm specializing software, internet, and digital media companies.","24,770",-1.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Essex Investment Management,/organization/essex-investment-management,24,11,"Boston, Massachusetts, United States",Essex Investment Management is an SEC registered investment adviser that manages growth equity portfolios for institutional clients.,"27,197",-0.3,,
Deutsche Bank Alex. Brown,/organization/deutsche-bank-alex,22,11,"Baltimore, Maryland, United States",DB Alex.Brown is the North American investment banking and brokerage business of Deutsche Bank.,"29,336",0.9,Investment Bank,
Symantec,/organization/symantec,17,10,"Mountain View, California, United States","Symantec provides security, storage, and systems management solutions that help consumers secure and manage their information.",21,3.2,,
General Electric (GE),/organization/general-electric,37,10,"Fairfield, Connecticut, United States",General Electric Company offers infrastructure and financial services worldwide.,31,2,,
eBay,/organization/ebay,38,10,"San Jose, California, United States",eBay is an online marketplace that connects a global network of buyers and sellers.,122,6.6,,
BlackRock,/organization/blackrock,38,10,"New York, New York, United States","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",146,7,Investment Bank,"Post-Ipo, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Lighter Capital,/organization/lighter-capital,226,10,"Seattle, Washington, United States","Lighter Capital is revolutionizing startup finance, filling the gap between VCs and banks.",301,-4.8,Venture Debt,"Early Stage Venture, Debt"
Autodesk,/organization/autodesk,32,10,"San Rafael, California, United States","Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.",328,9.8,,
American Express Business Travel,/organization/americanexpress,36,10,"New York, New York, United States","American Express is a global financial services company best known for its credit card, charge card and traveler’s cheque businesses.",372,2.5,,
Mitsui & Co,/organization/mitsui,59,10,"Tokyo, Tokyo, Japan","Mitsui & Co., is a general trading and investment company, with interests in Iron & Steel Products.",469,8,,
Founders Circle Capital,/organization/founders-circle-capital,43,10,"San Francisco, California, United States",Founders Circle is a founder liquidity firm that invests in the people who are building today's #breakawaygrowth companies.,727,9.4,Venture Capital,"Late Stage Venture, Secondary Market"
Anthemis Group,/organization/anthemis-group,79,10,"London, England, United Kingdom",Anthemis Group is a London-based venture investment and advisory firm focused on financial services companies across the world.,806,8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
EQT,/organization/eqt-holdings,29,10,"Stockholm, Stockholms Lan, Sweden",EQT invests in good companies across the world with a mission to help them develop into great and sustainable companies.,926,1.4,"Venture Capital, Private Equity Firm",
BDMI,/organization/bertelsmann-digital-media-investments,98,10,"New York, New York, United States","BDMI is a New York-based venture capital firm focused on investments in digital media technologies, products, and distribution channels.",959,5.5,Corporate Venture Capital,Seed
HSBC,/organization/hsbc,42,10,"London, England, United Kingdom",HSBC is a British banking and financial services organization that offers a comprehensive range of services.,986,-0.6,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Eight Roads Ventures,/organization/eight-roads-ventures,105,10,"London, England, United Kingdom","Eight Roads Ventures is a venture capital fund, with offices in China, India, Japan and the UK.",987,-0.5,Venture Capital,"Post-Ipo, Seed, Late Stage Venture, Early Stage Venture, Private Equity"
Draper Nexus Ventures,/organization/draper-nexus-ventures,75,10,"San Mateo, California, United States",Draper Nexus is a VC firm based in Tokyo and Silicon Valley and is part of Draper Venture Network,"1,145",6.2,Venture Capital,"Seed, Early Stage Venture"
The Dow Chemical Company,/organization/the-dow-chemical-company,36,10,"Midland, Michigan, United States","The Dow Company manufactures and sells chemicals, plastic materials, agricultural services and other specialized products and services.","1,179",0.5,,
Dragoneer Investment Group,/organization/dragoneer-investment-group,28,10,"San Francisco, California, United States","Dragoneer is a long-only, growth-oriented public and private investor based in San Francisco.","1,334",-4.1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Ann Arbor SPARK,/organization/ann-arbor-spark,92,10,"Ann Arbor, Michigan, United States",Ann Arbor SPARK is Ann Arbor’s engine for economic development.,"1,772",2.7,Accelerator,"Seed, Early Stage Venture, Debt"
Elaia Partners,/organization/elaia-partners,64,10,"Paris, Ile-de-France, France",Elaia Partners was founded in 2002 as an independent private equity boutique focused on Digital Economy.,"2,000",5.6,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture"
CyberAgent Ventures,/organization/cyberagent,142,10,"Tokyo, Tokyo, Japan",CyberAgent Ventures is a venture capital firm that provides financial support for start-ups specializing in the internet businesses.,"2,054",4.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Bullpen Capital,/organization/bullpen-capital,72,10,"Menlo Park, California, United States",Bullpen Capital is an early-stage fund to make follow-on investments for companies who have recently raised seed.,"2,144",-3.7,Micro VC,"Seed, Early Stage Venture, Late Stage Venture"
Creathor Venture,/organization/creathor-venture-management,63,10,"Bad Homburg, Hessen, Germany",Creathor Venture is a German venture capital firm specializing in technology-oriented companies and entrepreneurs.,"2,341",3.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Toba Capital,/organization/toba-capital,67,10,"San Francisco, California, United States","Toba Capital is a venture firm investing in business applications, IT, and internet infrastructure markets.","2,436",-2.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Troy Carter,/person/troy-carter,28,10,"Culver City, California, United States","Troy Carter is the Founder, Chairman and CEO of Atom Factory, an entertainment management company defining popular culture globally. As a di...","2,539",-1.4,"Investment Partner, Individual/Angel",Seed
